name,sworn,type,state,county,city,ftciv,ptciv,ptsworn,zip,fips
Rockwall County Sheriff's Office,37,Sheriff's office,TX,Rockwall,Rockwall,78,0,0,75087,48397
Greenfield Police,37,Local police department,IN,Hancock,Greenfield,2,7,0,46140,18059
Orange County Sheriff's Office,37,Sheriff's office,VA,Orange,Orange,16,4,2,22960,51137
Elko Police Department,37,Local police department,NV,Elko,Elko,4,3,0,89801,32007
Roseburg Police Department,37,Local police department,OR,Douglas,Roseburg,5,0,0,97470,41019
Blue Ash Police Department,37,Local police department,OH,Hamilton,Blue Ash,9,3,7,45242,39061
Angleton Police Department,37,Local police department,TX,Brazoria,Angleton,12,1,0,77515,48039
El Reno Police Department,37,Local police department,OK,Canadian,El Reno,2,0,0,73036,40017
Yukon Police Department,37,Local police department,OK,Canadian,Yukon,18,1,3,73099,40017
South Whitehall Township Police Department,37,Local police department,PA,Lehigh,Allentown,3,1,0,18104,42077
Roane County Sheriff's Office,37,Sheriff's office,TN,Roane,Kingston,22,5,12,37763,47145
Gaffney Police Department,37,Local police department,SC,Cherokee,Gaffney,4,0,0,29342,45021
Acworth Police Department,37,Local police department,GA,Cobb,Acworth,12,0,1,30101,13067
Berlin Police Department,37,Local police department,CT,Hartford,Kensington,11,0,0,6037,9003
Dinuba Police Department,37,Local police department,CA,Tulare,Dinuba,14,5,0,93618,6107
Lockport Police Dept,37,Local police department,IL,Will,Lockport,9,9,1,60441,17197
Liberty County Sheriff's Office,37,Sheriff's office,TX,Liberty,Liberty,18,0,2,77575,48291
Chatham County Public Schools Campus Police,37,Special jurisdiction,GA,Chatham,Savannah,8,0,0,31401,13051
Orange Beach Police Department,37,Local police department,AL,Baldwin,Orange Beach,21,0,2,36561,1003
Saraland Police Department,37,Local police department,AL,Mobile,Saraland,11,0,0,36571,1097
Columbus and Franklin County Metro Parks Police,37,Special jurisdiction,OH,Franklin,Westerville,6,53,0,43081,39049
New Mexico Livestock Board,37,Special jurisdiction,NM,Bernalillo,Alberquerque,32,0,0,87108,35001
Compton Unified School District Public Safety,37,Special jurisdiction,CA,Los Angeles,Compton,0,0,0,90221,6037
Palatka Police Department,37,Local police department,FL,Putnam,Palatka,7,0,0,32177,12107
Eatontown Police,37,Local police department,NJ,Monmouth,Eatontown,8,0,0,7724,34025
Humboldt County Sheriff's Office,37,Sheriff's office,NV,Humboldt,Winnemucca,17,0,1,89445,32013
Fort Dodge Police Department,37,Local police department,IA,Webster,Fort Dodge,3,0,0,50501,19187
Valencia County Sheriff's Office,37,Sheriff's office,NM,Valencia,Los Lunas,14,0,1,87031,35061
Charlotte Douglas International Airport Police,37,Special jurisdiction,NC,Mecklenburg,Charlotte,0,0,0,28219,37119
Waller County Sheriff's Office,37,Sheriff's office,TX,Waller,Hempstead,28,0,0,77445,48473
San Fernando Police Department,37,Local police department,CA,Los Angeles,San Fernando,34,10,0,91340,6037
Putnam County Sheriff's Office,37,Sheriff's office,WV,Putnam,Winfield,11,1,0,25213,54079
Decatur Police Department,37,Local police department,GA,DeKalb,Decatur,11,0,1,30030,13089
Palmetto Police Department,37,Local police department,FL,Manatee,Palmetto,12,1,6,34221,12081
Pacifica Police Department,37,Local police department,CA,San Mateo,Pacifica,14,1,0,94044,6081
Norfolk International Airport Police Dept,37,Special jurisdiction,VA,Norfolk City,Norfolk,7,0,0,23518,51710
East Palo Alto Police Dept.,37,Local police department,CA,San Mateo,East Palo Alto,11,0,0,94303,6081
Lee County Port Authority Police,37,Special jurisdiction,FL,Lee,Fort Myers,28,0,0,33913,12071
Bedford Park Police Dept,37,Local police department,IL,Cook,Bedford Park,8,0,0,60501,17031
University of Oklahoma Police Department,37,Special jurisdiction,OK,Cleveland,"Norman,",10,15,0,73072,40027
Walker Police Department,37,Local police department,MI,Kent,Grand Rapids,9,2,0,49544,26081
Beltrami County Sheriff's Office,36,Sheriff's office,MN,Beltrami,Bemidji,55,4,1,56601,27007
Lower Makefield Township Police Department,36,Local police department,PA,Bucks,Morrisville,5,1,0,19067,42017
McMinnville Police Department,36,Local police department,TN,Warren,McMinnville,4,1,0,37111,47177
Clear Creek County Sheriff's Office,36,Sheriff's office,CO,Clear Creek,Georgetown,22,2,0,80444,8019
Monroe County Sheriff's Office,36,Sheriff's office,TN,Monroe,Madisonville,32,17,13,37354,47123
Hazel Park Police Department,36,Local police department,MI,Oakland,Hazel Park,5,1,0,48030,26125
Kosciusko County Sheriff's Office,36,Sheriff's office,IN,Kosciusko,Warsaw,55,5,0,46580,18085
Union City Police Department,36,Local police department,TN,Obion,Union City,7,5,0,38261,47131
Park County Sheriff's Office,36,Sheriff's office,CO,Park,Fairplay,34,2,0,80440,8093
Gardner Department of Public Safety,36,Local police department,KS,Johnson,Gardner,3,0,0,66030,20091
La Salle County Sheriff's Office,36,Sheriff's office,IL,La Salle,Ottawa,13,0,0,61350,17099
Monongalia County Sheriff's Office,36,Sheriff's office,WV,Monongalia,Morgantown,19,22,0,26505,54061
University of Arkansas Medical Sciences Dept of Public Safety,36,Special jurisdiction,AR,Pulaski,Little Rock,7,0,0,72205,5119
Martinez Police Department,36,Local police department,CA,Contra Costa,Martinez,13,5,7,94553,6013
Mayfield Heights Police Department,36,Local police department,OH,Cuyahoga,Mayfield Heights,20,5,3,44124,39035
Clallam County Sheriff's Office,36,Sheriff's office,WA,Clallam,Port Angeles,54,0,1,98362,53009
Burlington City Police,36,Local police department,NJ,Burlington,Burlington,4,11,7,8016,34005
Vincennes Police,36,Local police department,IN,Knox,Vincennes,4,0,1,47591,18083
Bourne Police Department,36,Local police department,MA,Barnstable,Buzzards Bay,7,2,0,2532,25001
Dunkirk Police Department,36,Local police department,NY,Chautauqua,Dunkirk,0,10,0,14048,36013
Aberdeen Police Department,36,Local police department,WA,Grays Harbor,Aberdeen,12,1,0,98520,53027
Redmond Police Department,36,Local police department,OR,Deschutes,Redmond,15,0,0,97756,41017
Walpole Police Department,36,Local police department,MA,Norfolk,Walpole,5,0,0,2081,25021
Ruston Police Department,36,Local police department,LA,Lincoln,Ruston,8,0,9,71273,22061
Bethel Park Borough Police Department,36,Local police department,PA,Allegheny,Bethel Park,4,0,0,15102,42003
Whitemarsh Township Police Department,36,Local police department,PA,Montgomery,Lafayette Hill,8,14,0,19444,42091
Bountiful Police Department,36,Local police department,UT,Davis,Bountiful,16,24,10,84010,49011
Kenton County Police Department,36,Local police department,KY,Kenton,Independence,22,2,0,41051,21117
Washington Police Department,36,Local police department,NC,Beaufort,Washington,8,2,3,27889,37013
Hastings Police Dept,36,Local police department,NE,Adams,Hastings,14,2,0,68901,31001
Bennettsville Police Department,36,Local police department,SC,Marlboro,Bennettsville,3,1,0,29512,45069
Watertown Police Department,36,Local police department,SD,Codington,Watertown,15,1,0,57201,46029
Stoneham Police Department,36,Local police department,MA,Middlesex,Stoneham,2,0,0,2180,25017
Independence Police Department,36,Local police department,OH,Cuyahoga,Independence,14,8,2,44131,39035
Dorchester County Sheriff's Office,36,Sheriff's office,MD,Dorchester,Cambridge,4,5,2,21613,24019
Ottawa Police Dept,36,Local police department,IL,La Salle,Ottawa,10,0,0,61350,17099
Cascade County Sheriff's Office,36,Sheriff's office,MT,Cascade,Great Falls,92,0,21,59404,30013
Warren County Sheriff's Office,36,Sheriff's office,MO,Warren,Warrenton,27,0,0,63383,29219
Greenfield Police Department,36,Local police department,MA,Franklin,Greenfield,11,0,1,1301,25011
Durant Police Department,36,Local police department,OK,Bryan,Durant,14,2,0,74701,40013
Dauphin County Sheriff's Office,36,Sheriff's office,PA,Dauphin,Harrisburg,7,0,7,17108,42043
"Matteson Police Deot,",36,Local police department,IL,Cook,Matteson Village,10,1,0,60443,17031
Cottage Grove Police Department,36,Local police department,MN,Washington,Cottage Grove,17,0,0,55016,27163
Yamhill County Sheriff's Office,36,Sheriff's office,OR,Yamhill,Mcminnville,7,0,3,97128,41071
Kalispell Police Department,36,Local police department,MT,Flathead,Kalispell,11,2,0,59903,30029
Liberal Police Department,36,Local police department,KS,Seward,Liberal,14,0,1,67905,20175
Amsterdam Police Department,36,Local police department,NY,Montgomery,Amsterdam,1,0,0,12010,36057
Williamsburg Police Department,36,Local police department,VA,Williamsburg City,Williamsburg,14,2,0,23185,51830
Southbridge Police Department,36,Local police department,MA,Worcester,Southbridge,3,11,25,1550,25027
Geneva Police Dept,36,Local police department,IL,Kane,Geneva,11,4,0,60134,17089
Powhatan County Sheriff's Office,36,Sheriff's office,VA,Powhatan,Powhatan,15,3,2,23139,51145
University of the District of Columbia Police,36,Special jurisdiction,DC,District of Columbia,Washington,5,0,0,20008,11001
Selma Police Department,36,Local police department,CA,Fresno,Selma,11,1,0,93662,6019
Georgia Perimeter College Public Safety,36,Special jurisdiction,GA,DeKalb,Clarkston,52,34,0,30021,13089
Villa Rica Police Department,36,Local police department,GA,Carroll,Villa Rica,9,3,0,30180,13045
Binghamton University Police,36,Special jurisdiction,NY,Broome,Binghamton,11,1,0,13902,36007
Bethel Police Department,36,Local police department,CT,Fairfield,Bethel,12,0,4,6801,9001
Latah County Sheriff's Office,36,Sheriff's office,ID,Latah,Moscow,11,4,1,83843,16057
Dumont Police,36,Local police department,NJ,Bergen,Dumont,8,0,0,7628,34003
Jerome County Sheriff's Office,36,Sheriff's office,ID,Jerome,Jerome,5,28,0,83338,16053
Southern Illinois University - Carbondale Police Dept,36,Special jurisdiction,IL,Jackson,Carbondale,18,16,0,62901,17077
Miccosukee Tribal Police Department,36,Local police department,FL,Miami-Dade,Miami,12,0,0,33144,12086
Orange Police Department,36,Local police department,CT,New Haven,Orange,12,0,2,6477,9009
Minneapolis Park Police Department,36,Special jurisdiction,MN,Hennepin,Minneapolis,2,23,0,55411,27053
Post Falls Police Department,36,Local police department,ID,Kootenai,Post Falls,25,2,0,83854,16055
Suwanee Police Department,36,Local police department,GA,Gwinnett,Suwanee,9,0,0,30024,13135
La Paz County Sheriff's Office,36,Sheriff's office,AZ,La Paz,Parker,61,14,2,85344,4012
Spring I.S.D. Police Dept.,36,Special jurisdiction,TX,Harris,Houston,2,0,3,77090,48201
Americus Police Department,36,Local police department,GA,Sumter,Americus,9,0,0,31709,13261
Cohoes Police Department,36,Local police department,NY,Albany,Cohoes,12,15,0,12047,36001
Middletown Police Department,36,Local police department,RI,Newport,Middletown,3,17,0,2842,44005
Montana Division of Criminal Investigation,36,Special jurisdiction,MT,Lewis and Clark,Helena,43,0,0,59620,30049
Signal Hill Police Department,36,Local police department,CA,Los Angeles,Signal Hill,15,5,0,90755,6037
Ottumwa Police Department,36,Local police department,IA,Wapello,Ottumwa,7,0,0,52501,19179
Morgan Hill Police Department,36,Local police department,CA,Santa Clara,Morgan Hill,18,11,0,95037,6085
Texas Southern University Police Dept.,36,Special jurisdiction,TX,Harris,Houston,18,0,0,77004,48201
Cape May County Prosecutor's Office,36,Special jurisdiction,NJ,Cape May,Cape May Court House,46,0,0,8210,34009
South Pasadena Police Department,36,Local police department,CA,Los Angeles,South Pasadena,15,12,0,91030,6037
Lincoln Police Department,36,Local police department,RI,Providence,Lincoln,7,0,0,2865,44007
Katy I.S.D. Police Dept.,36,Special jurisdiction,TX,Harris,Katy,8,0,3,77449,48201
University of Colorado - Boulder Police Dept,36,Special jurisdiction,CO,Boulder,Boulder,14,4,0,80309,8013
Hamilton County Park District Rangers,36,Special jurisdiction,OH,Hamilton,Cincinnati,3,5,14,45231,39061
Wasatch County Sheriff's Office,36,Sheriff's office,UT,Wasatch,Heber City,9,0,0,84032,49051
Patrick County Sheriff's Office,35,Sheriff's office,VA,Patrick,Stuart,14,0,2,24171,51141
Monroe County Sheriff's Office,35,Sheriff's office,IN,Monroe,Bloomington,63,7,16,47404,18105
Bastrop Police Department,35,Local police department,LA,Morehouse,Bastrop,12,0,0,71220,22067
Fremont County Sheriff's Office,35,Sheriff's office,CO,Fremont,Canon City,50,0,0,81212,8043
Auburndale Police Department,35,Local police department,FL,Polk,Auburndale,9,9,35,33823,12105
Milwaukie Police Department,35,Local police department,OR,Clackamas,Milwaukie,4,0,1,97222,41005
Taney County Sheriff's Office,35,Sheriff's office,MO,Taney,Forsyth,59,0,0,65653,29213
Kilgore Police Department,35,Local police department,TX,Gregg,Kilgore,10,0,0,75663,48183
Simpsonville Police Department,35,Local police department,SC,Greenville,Simpsonville,8,0,0,29681,45045
Putnam County Sheriff's Office,35,Sheriff's office,GA,Putnam,Eatonton,27,1,3,31024,13237
Kenton County Sheriff's Office,35,Sheriff's office,KY,Kenton,Covington,2,0,15,41011,21117
Franklin County Sheriff's Office,35,Sheriff's office,GA,Franklin,Carnesville,27,0,0,30521,13119
New Castle Police,35,Local police department,IN,Henry,New Castle,3,1,0,47362,18065
Freehold Borough Police,35,Local police department,NJ,Monmouth,Freehold,8,2,2,7728,34025
Wisconsin State Capitol Police,35,Special jurisdiction,WI,Dane,Madison,10,1,6,53702,55025
Creek County Sheriff's Office,35,Sheriff's office,OK,Creek,Sapulpa,55,0,1,74067,40037
Grosse Pointe Farms Dept of Public Safety,35,Local police department,MI,Wayne,Grosse Pointe,7,0,0,48236,26163
Bedford County Sheriff's Office,35,Sheriff's office,TN,Bedford,Shelbyville,62,12,0,37160,47003
Fremont County Sheriff's Office,35,Sheriff's office,WY,Fremont,Lander,68,1,0,82520,56013
Lebanon Police Department,35,Local police department,NH,Grafton,Lebanon,12,8,4,3766,33009
Lake Zurich Police Dept,35,Local police department,IL,Lake,Lake Zurich,17,14,0,60047,17097
Niles Police Department,35,Local police department,OH,Trumbull,Niles,6,9,0,44446,39155
Owatonna Police Department,35,Local police department,MN,Steele,Owatonna,3,4,0,55060,27147
Plainville Police Department,35,Local police department,CT,Hartford,Plainville,7,7,0,6062,9003
Fulton Police Department,35,Local police department,NY,Oswego,Fulton,2,0,0,13069,36075
Brunswick Police Department,35,Local police department,ME,Cumberland,Brunswick,14,8,0,4011,23005
Havre De Grace Police Department,35,Local police department,MD,Harford,Havre De Grace,9,0,0,21078,24025
South Charleston Police Department,35,Local police department,WV,Kanawha,South Charleston,4,0,0,25303,54039
Radcliff Police Department,35,Local police department,KY,Hardin,Radcliff,11,0,0,40160,21093
Winchester Police Department,35,Local police department,KY,Clark,Winchester,16,0,0,40392,21049
Hancock County Sheriff's Office,35,Sheriff's office,OH,Hancock,Findlay,51,1,0,45840,39063
Brigantine Police,35,Local police department,NJ,Atlantic,Brigantine,13,3,0,8203,34001
Clark County Sheriff's Office,35,Sheriff's office,IN,Clark,Jeffersonville,104,7,0,47130,18019
Sebastian County Sheriff's Office,35,Sheriff's office,AR,Sebastian,Fort Smith,93,0,10,72901,5131
Washington County Sheriff's Office,35,Sheriff's office,CO,Washington,Akron,7,0,0,80720,8121
Cass County Sheriff's Office,35,Sheriff's office,MI,Cass,Cassopolis,35,5,2,49031,26027
Rogers County Sheriff's Office,35,Sheriff's office,OK,Rogers,Claremore,33,6,0,74017,40131
Westchester Police Dept,35,Local police department,IL,Cook,Westchester,12,0,0,60154,17031
Aberdeen Police,35,Local police department,NJ,Monmouth,Aberdeen,7,18,0,7747,34025
Highland County Sheriff's Office,35,Sheriff's office,OH,Highland,Hillsboro,23,2,1,45133,39071
Balch Springs Police Department,35,Local police department,TX,Dallas,Balch Springs,17,0,3,75180,48113
Sharonville Police Department,35,Local police department,OH,Hamilton,Cincinnati,10,0,0,45241,39061
Oregon City Police Department,35,Local police department,OR,Clackamas,Oregon City,8,0,0,97045,41005
Warsaw Police,35,Local police department,IN,Kosciusko,Warsaw,7,1,0,46581,18085
Nantucket Police Department,35,Local police department,MA,Nantucket,Nantucket,4,40,0,2554,25019
Mexico Police Department,35,Local police department,MO,Audrain,Mexico,2,0,0,65265,29007
New Castle (city) Police Department,35,Local police department,PA,Lawrence,New Castle,3,0,0,16101,42073
